course_department;course_code;professor;time;course_title;completed;total_entrolled;lab_section_content;clear_and_organized;instructor_established_rapport;coordination_with_lectures;the_course_as_a_whole;instructor_was_accessible;instructor_was_challenging;amount_learned;instructor_feedback;relevance_and_usefulness_of_homework;instuctors_interest;quiz_section_content;instructor_was_knowledgeable;instructors_effectiveness;instructors_contribution;grading_techniques;instructor_overall;effectiveness_of_format;tailoring_instruction_to_skills;textbook_overall;instructor_was_enthusiastic;quiz_section_as_a_whole;procedures_and_skills_taught;the_course_content;the_lab_section_as_a_whole;rotation_and_studio_as_a_whole
ART;490;denzil hurley;au13;Advanced Drawing;15;19;NULL;3.75;4.56;NULL;NULL;4.5;4.75;NULL;NULL;NULL;NULL;NULL;4.67;4.25;4.38;NULL;NULL;NULL;NULL;NULL;4.56;NULL;4.25;NULL;NULL;4.38
ART;490;david brody;sp13;Advanced Drawing;14;17;NULL;4.86;4.8;NULL;NULL;4.72;4.86;NULL;NULL;NULL;NULL;NULL;4.86;4.8;4.72;NULL;NULL;NULL;NULL;NULL;4.92;NULL;4.72;NULL;NULL;4.63
ART;490;helen o'toole;wi14;Advanced Drawing;9;20;NULL;3.0;4.75;NULL;NULL;4.0;4.6;NULL;NULL;NULL;NULL;NULL;4.75;4.6;4.25;NULL;NULL;NULL;NULL;NULL;4.75;NULL;4.0;NULL;NULL;4.25
ART;492;zhi lin;wi14;Advanced Painting: The Figure;11;15;NULL;3.13;4.13;NULL;NULL;2.88;4.95;NULL;NULL;NULL;NULL;NULL;4.95;3.4;3.63;NULL;NULL;NULL;NULL;NULL;4.5;NULL;3.33;NULL;NULL;3.86
ART;494;philip govedare;wi14;Senior Seminar in Painting and Drawing;10;10;NULL;4.5;4.67;NULL;NULL;4.6;4.67;NULL;NULL;NULL;NULL;NULL;4.88;4.67;4.67;NULL;NULL;NULL;NULL;NULL;4.79;NULL;4.1;NULL;NULL;4.5
ART;494;david brody;au13;Senior Seminar in Painting and Drawing;9;12;NULL;4.86;4.75;NULL;NULL;4.86;4.94;NULL;NULL;NULL;NULL;NULL;4.94;4.75;4.83;NULL;NULL;NULL;NULL;NULL;4.75;NULL;4.86;NULL;NULL;4.86
ART;494;helen o'toole;sp13;Senior Seminar in Painting and Drawing;10;14;NULL;4.67;4.67;NULL;NULL;4.79;4.79;NULL;NULL;NULL;NULL;NULL;4.79;4.5;4.25;NULL;NULL;NULL;NULL;NULL;4.79;NULL;4.1;NULL;NULL;4.25
ART;515;ellen garvens;au13;Graduate Studio Photomedia;6;6;NULL;NULL;NULL;NULL;4.75;NULL;NULL;4.5;NULL;NULL;4.75;NULL;NULL;4.5;4.9;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
ART;555;mark zirpel;au13;NULL;1;1;NULL;NULL;NULL;NULL;5.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;5.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;NULL;NULL
ART;590;scott lawrimore;sp14;Interdisciplinary Graduate Seminar in Contemporary Practices;11;12;NULL;NULL;NULL;NULL;5.0;NULL;NULL;4.89;NULL;NULL;4.95;NULL;NULL;4.95;5.0;4.79;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;NULL;NULL
ART;590;mark zirpel;wi14;Interdisciplinary Graduate Seminar in Contemporary Practices;20;23;NULL;NULL;NULL;NULL;3.72;NULL;NULL;3.2;NULL;NULL;4.25;NULL;NULL;4.25;4.55;3.42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.38;NULL;NULL
ART;590;scott lawrimore;sp13;Interdisciplinary Graduate Seminar in Contemporary Practices;7;7;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.63;NULL;NULL;3.75;NULL;NULL;3.75;4.63;4.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ART;592;helen o'toole;wi14;Graduate Studio: Painting;4;9;NULL;4.17;4.5;NULL;NULL;4.0;4.83;NULL;NULL;NULL;NULL;NULL;4.5;4.83;4.5;NULL;NULL;NULL;NULL;NULL;4.83;NULL;4.17;NULL;NULL;4.17
ART;594;helen o'toole;sp13;Graduate Seminar in Painting and Drawing;8;10;NULL;NULL;NULL;NULL;4.83;NULL;NULL;4.7;NULL;NULL;4.83;NULL;NULL;4.93;4.93;4.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
ART;700;helen o'toole;wi14;Master's Thesis;3;11;NULL;2.0;2.0;NULL;NULL;2.0;1.5;NULL;NULL;NULL;NULL;NULL;2.0;1.5;2.0;NULL;NULL;NULL;NULL;NULL;2.0;NULL;1.5;NULL;NULL;3.0
ARTH;201;sarah titus;au13;Survey of Western Art-Ancient;33;61;NULL;NULL;NULL;NULL;4.23;NULL;NULL;4.63;NULL;NULL;4.7;NULL;NULL;4.58;4.78;4.08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.41;NULL;NULL
ARTH;202;stuart lingo;wi14;Survey of Western Art-Medieval and Renaissance;98;147;NULL;NULL;NULL;NULL;4.21;NULL;NULL;4.07;NULL;NULL;4.15;NULL;NULL;4.59;4.64;3.97;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.14;NULL;NULL
ARTH;202;kelsey eldridge;wi14;Survey of Western Art-Medieval and Renaissance;15;25;NULL;NULL;NULL;NULL;3.95;NULL;NULL;4.06;NULL;NULL;4.25;NULL;NULL;4.15;4.44;3.92;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ARTH;202;kelsey eldridge;wi14;Survey of Western Art-Medieval and Renaissance;17;24;NULL;NULL;NULL;NULL;4.08;NULL;NULL;4.07;NULL;NULL;4.06;NULL;NULL;4.33;4.61;4.13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
ARTH;203;kolya rice;su13;Survey of Western Art-Modern;20;27;NULL;NULL;NULL;NULL;4.1;NULL;NULL;4.28;NULL;NULL;3.9;NULL;NULL;4.5;4.55;4.21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.38;NULL;NULL
ARTH;203;kolya rice;su14;Survey of Western Art-Modern;16;21;NULL;NULL;NULL;NULL;4.83;NULL;NULL;4.83;NULL;NULL;4.75;NULL;NULL;5.0;4.97;4.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.93;NULL;NULL
ARTH;203;estelle lingo;sp13;Survey of Western Art-Modern;167;260;NULL;NULL;NULL;NULL;4.01;NULL;NULL;4.07;NULL;NULL;4.23;NULL;NULL;4.08;4.33;3.91;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
ARTH;212;haicheng wang;au13;Chinese Art and Visual Culture;28;43;NULL;NULL;NULL;NULL;4.63;NULL;NULL;4.3;NULL;3.7;4.17;NULL;NULL;NULL;4.41;NULL;4.57;NULL;NULL;4.57;NULL;NULL;NULL;NULL;NULL;NULL
ARTH;214;sonal khullar;sp13;Art of India: Mohenjo-Daro to the Mughals;33;62;NULL;NULL;NULL;NULL;4.07;NULL;NULL;3.96;NULL;NULL;4.42;NULL;NULL;4.27;4.68;3.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.15;NULL;NULL
ARTH;214;sonal khullar;sp14;Art of India: Mohenjo-Daro to the Mughals;54;96;NULL;NULL;NULL;NULL;3.69;NULL;NULL;3.8;NULL;NULL;4.06;NULL;NULL;3.75;4.05;3.38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.68;NULL;NULL
ARTH;233;katie bunn-marcuse;sp13;Survey of Native Art of the Pacific Northwest Coast;28;65;NULL;NULL;NULL;NULL;3.63;NULL;NULL;3.5;NULL;NULL;3.9;NULL;NULL;3.88;3.88;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.94;NULL;NULL
ARTH;233;robin wright;wi14;Survey of Native Art of the Pacific Northwest Coast;70;89;NULL;NULL;NULL;NULL;3.32;NULL;NULL;3.74;NULL;NULL;3.26;NULL;NULL;3.09;3.75;3.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.61;NULL;NULL
ARTH;290;britt bandel jeske;au13;History of Architecture;27;59;NULL;NULL;NULL;NULL;3.92;NULL;NULL;3.88;NULL;NULL;4.17;NULL;NULL;3.85;4.13;3.82;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ARTH;309;kolya rice;wi14;Topics in Art History;32;37;NULL;NULL;NULL;NULL;4.7;NULL;NULL;4.5;NULL;NULL;4.66;NULL;NULL;4.86;4.91;4.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.74;NULL;NULL
ARTH;309;daniele di lodovico;sp14;Topics in Art History;26;35;NULL;NULL;NULL;NULL;4.14;NULL;NULL;4.25;NULL;NULL;4.5;NULL;NULL;4.21;4.35;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ARTH;309;melanie enderle;au13;Topics in Art History;4;14;NULL;NULL;NULL;NULL;4.83;NULL;NULL;4.83;NULL;NULL;5.0;NULL;NULL;4.83;5.0;4.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;NULL;NULL
ARTH;309;daniele di lodovico;sp13;Topics in Art History;17;23;NULL;NULL;NULL;NULL;4.31;NULL;NULL;4.5;NULL;NULL;4.73;NULL;NULL;4.56;4.79;4.44;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.43;NULL;NULL
ARTH;309;melanie enderle;au13;Topics in Art History;11;11;NULL;NULL;NULL;NULL;4.89;NULL;NULL;4.88;NULL;NULL;4.89;NULL;NULL;4.81;4.58;4.81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.29;NULL;NULL
ARTH;309;tamaki maeda;sp13;Topics in Art History;25;34;NULL;NULL;NULL;NULL;3.22;NULL;NULL;3.17;NULL;NULL;3.44;NULL;NULL;3.06;3.67;3.11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.56;NULL;NULL
ARTH;309;steven bunn;sp13;Topics in Art History;3;3;NULL;NULL;NULL;NULL;4.25;NULL;NULL;4.25;NULL;NULL;4.75;NULL;NULL;5.0;5.0;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
ARTH;309;lucienne auz;wi14;Topics in Art History;25;35;NULL;NULL;NULL;NULL;3.91;NULL;NULL;4.32;NULL;NULL;4.3;NULL;NULL;3.95;4.44;3.95;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.15;NULL;NULL
ARTH;309;steven bunn;sp13;Topics in Art History;7;12;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.0;NULL;NULL;4.25;NULL;NULL;4.33;4.33;4.8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.75;NULL;NULL
ARTH;311;haicheng wang;sp13;Arts of Imperial China;22;38;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.58;NULL;4.5;4.58;NULL;NULL;NULL;4.55;NULL;4.41;NULL;NULL;4.58;NULL;NULL;NULL;NULL;NULL;NULL
ARTH;311;haicheng wang;wi14;Arts of Imperial China;43;65;NULL;NULL;NULL;NULL;3.79;NULL;NULL;4.13;NULL;NULL;3.95;NULL;NULL;3.88;4.0;4.39;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.91;NULL;NULL
ARTH;312;sonal khullar;au13;Art and Empire in India. 1750-1900;21;32;NULL;NULL;NULL;NULL;4.13;NULL;NULL;4.45;NULL;NULL;4.63;NULL;NULL;4.44;4.63;4.31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.44;NULL;NULL
ARTH;317;timothy olson;wi14;Chado-Japanese Esthetics;22;22;NULL;NULL;NULL;NULL;4.85;NULL;NULL;4.71;NULL;NULL;4.84;NULL;NULL;4.85;4.85;4.58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.71;NULL;NULL
ARTH;317;timothy olson;au13;Chado-Japanese Esthetics;22;25;NULL;NULL;NULL;NULL;4.71;NULL;NULL;4.75;NULL;NULL;4.63;NULL;NULL;4.69;4.71;4.63;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.77;NULL;NULL
ARTH;317;timothy olson;sp14;Chado-Japanese Esthetics;24;26;NULL;NULL;NULL;NULL;4.87;NULL;NULL;4.86;NULL;NULL;4.87;NULL;NULL;4.79;4.87;4.82;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.83;NULL;NULL
ARTH;342;bridget langley;su13;Roman Art and Archaeology;10;21;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.17;NULL;NULL;4.5;NULL;NULL;4.25;4.67;4.17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.13;NULL;NULL
ARTH;342;sarah titus;wi14;Roman Art and Archaeology;40;57;NULL;NULL;NULL;NULL;4.18;NULL;NULL;4.57;NULL;NULL;4.44;NULL;NULL;4.59;4.53;3.71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
ARTH;361;steven bunn;wi14;Italian Renaissance Art;40;64;NULL;NULL;NULL;NULL;4.7;NULL;NULL;4.67;NULL;NULL;4.7;NULL;NULL;4.83;4.91;4.63;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.7;NULL;NULL
ARTH;366;steven bunn;sp14;Northern Renaissance Art;30;41;NULL;NULL;NULL;NULL;4.42;NULL;NULL;4.3;NULL;NULL;4.25;NULL;NULL;4.79;4.82;4.27;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.36;NULL;NULL
ARTH;373;estelle lingo;au13;Southern Baroque Art;31;39;NULL;NULL;NULL;NULL;4.64;NULL;NULL;4.64;NULL;NULL;4.68;NULL;NULL;4.88;4.88;4.18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.73;NULL;NULL
ARTH;374;steven bunn;sp13;Northern Baroque Art;28;40;NULL;NULL;NULL;NULL;4.72;NULL;NULL;4.54;NULL;NULL;4.66;NULL;NULL;4.83;4.86;4.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.76;NULL;NULL
ARTH;380;kolya rice;sp13;Nineteenth- and Twentieth-Century Art;44;54;NULL;NULL;NULL;NULL;4.69;NULL;NULL;4.62;NULL;NULL;4.67;NULL;NULL;4.83;4.79;4.47;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.71;NULL;NULL
ARTH;380;marek wieczorek;wi14;Nineteenth- and Twentieth-Century Art;30;59;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.29;NULL;NULL;4.62;NULL;NULL;4.5;4.71;4.21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.59;NULL;NULL
ARTH;381;kolya rice;su13;Art Since World War II;21;28;NULL;NULL;NULL;NULL;4.63;NULL;NULL;4.8;NULL;NULL;4.55;NULL;NULL;4.75;4.8;4.73;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.69;NULL;NULL
ARTH;381;kolya rice;su14;Art Since World War II;23;27;NULL;NULL;NULL;NULL;4.62;NULL;NULL;4.78;NULL;NULL;4.81;NULL;NULL;4.73;4.89;4.62;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.82;NULL;NULL
ARTH;381;kolya rice;au13;Art Since World War II;50;63;NULL;NULL;NULL;NULL;4.72;NULL;NULL;4.61;NULL;NULL;4.63;NULL;NULL;4.84;4.88;4.31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.64;NULL;NULL
ARTH;382;kolya rice;sp14;Theory and Practice of Art Criticism;20;29;NULL;NULL;NULL;NULL;4.73;NULL;NULL;4.67;NULL;NULL;4.67;NULL;NULL;4.88;4.91;4.77;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.73;NULL;NULL
ARTH;384;melanie enderle;sp14;American Art;3;0;NULL;NULL;NULL;NULL;4.25;NULL;NULL;4.25;NULL;NULL;4.25;NULL;NULL;4.75;3.75;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ARTH;384;melanie enderle;sp14;American Art;10;13;NULL;NULL;NULL;NULL;4.79;NULL;NULL;4.94;NULL;NULL;4.94;NULL;NULL;4.94;4.88;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.88;NULL;NULL
ARTH;400;melanie enderle;sp13;ART History and Criticism;18;23;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.43;NULL;NULL;4.79;NULL;NULL;4.68;4.68;4.42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.39;NULL;NULL
ARTH;400;kolya rice;au13;ART History and Criticism;23;25;NULL;NULL;NULL;NULL;4.89;NULL;NULL;4.93;NULL;NULL;4.82;NULL;NULL;4.89;4.95;4.93;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.86;NULL;NULL
ARTH;400;marek wieczorek;au13;ART History and Criticism;17;22;NULL;NULL;NULL;NULL;3.92;NULL;NULL;4.06;NULL;NULL;4.06;NULL;NULL;4.2;4.25;3.95;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
ARTH;412;haicheng wang;sp13;Art History and the Study of Chinese Bronzes;15;18;NULL;NULL;NULL;NULL;3.71;NULL;NULL;4.07;NULL;NULL;3.88;NULL;NULL;4.0;4.14;4.06;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.94;NULL;NULL
ARTH;412;haicheng wang;wi14;Art History and the Study of Chinese Bronzes;19;22;NULL;NULL;NULL;NULL;4.15;NULL;NULL;4.5;NULL;NULL;4.5;NULL;NULL;4.36;4.87;4.68;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
ARTH;414;sonal khullar;wi14;Topics in South Asian Art;12;13;NULL;NULL;NULL;NULL;4.17;NULL;NULL;4.1;NULL;NULL;4.1;NULL;NULL;4.0;4.64;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
ARTH;435;robin wright;sp14;Thematic Studies in Native-American Art;15;21;NULL;NULL;NULL;NULL;3.22;NULL;NULL;3.86;NULL;NULL;3.43;NULL;NULL;3.42;3.8;3.43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
ARTH;471;estelle lingo;wi14;Rome in the Seventeenth Century;23;41;NULL;NULL;NULL;NULL;4.58;NULL;NULL;4.65;NULL;NULL;4.44;NULL;NULL;4.65;4.81;4.39;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.65;NULL;NULL
ARTH;473;estelle lingo;sp14;NULL;27;38;NULL;NULL;NULL;NULL;4.83;NULL;NULL;4.83;NULL;NULL;4.86;NULL;NULL;4.89;4.94;4.71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.79;NULL;NULL
ARTH;473;estelle lingo;sp14;NULL;22;24;NULL;NULL;NULL;NULL;4.85;NULL;NULL;4.69;NULL;NULL;4.89;NULL;NULL;4.89;4.95;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.92;NULL;NULL
ARTH;484;marek wieczorek;au13;Topics in Modern Art;22;38;NULL;NULL;NULL;NULL;3.75;NULL;NULL;4.13;NULL;NULL;4.05;NULL;NULL;3.9;4.58;3.29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.83;NULL;NULL
ARTH;484;marek wieczorek;wi14;Topics in Modern Art;19;34;NULL;NULL;NULL;NULL;3.94;NULL;NULL;3.92;NULL;NULL;4.56;NULL;NULL;3.63;4.08;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.14;NULL;NULL
ARTH;492;kolya rice;sp13;Alternative Art Forms Since 1960;13;25;NULL;NULL;NULL;NULL;4.85;NULL;NULL;4.91;NULL;NULL;4.85;NULL;NULL;4.91;4.96;4.85;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.78;NULL;NULL
ARTH;492;kolya rice;sp14;Alternative Art Forms Since 1960;24;36;NULL;NULL;NULL;NULL;4.9;NULL;NULL;4.82;NULL;NULL;4.86;NULL;NULL;4.98;4.98;4.87;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.93;NULL;NULL
ARTH;511;haicheng wang;sp14;Seminar in Chinese Art;6;6;NULL;NULL;NULL;NULL;4.9;NULL;NULL;5.0;NULL;NULL;5.0;NULL;NULL;5.0;4.9;4.9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.75;NULL;NULL
ARTH;514;sonal khullar;au13;Seminar in South Asian Art;5;4;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.67;NULL;NULL;4.25;NULL;NULL;3.88;4.88;3.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.13;NULL;NULL
ARTH;533;robin wright;sp13;Seminar in North American Native Art;10;10;NULL;NULL;NULL;NULL;4.67;NULL;NULL;4.1;NULL;NULL;4.67;NULL;NULL;4.17;4.67;4.33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
ARTH;561;stuart lingo;au13;Seminar in Italian Renaissance Art;8;7;NULL;NULL;NULL;NULL;5.0;NULL;NULL;4.93;NULL;NULL;4.93;NULL;NULL;4.93;4.93;4.92;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.93;NULL;NULL
ARTH;577;estelle lingo;wi14;Seminar in Baroque Art;6;6;NULL;NULL;NULL;NULL;5.0;NULL;NULL;5.0;NULL;NULL;5.0;NULL;NULL;5.0;5.0;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;NULL;NULL
ARTH;581;marek wieczorek;sp13;Seminar in Modern Art;4;5;NULL;NULL;NULL;NULL;3.5;NULL;NULL;4.5;NULL;NULL;4.5;NULL;NULL;4.83;5.0;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.5;NULL;NULL
ARTH;581;marek wieczorek;sp14;Seminar in Modern Art;4;4;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.17;NULL;NULL;4.5;NULL;NULL;4.0;4.5;4.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
ARTH;581;susan casteras;au13;Seminar in Modern Art;9;8;NULL;NULL;NULL;NULL;4.75;NULL;NULL;4.6;NULL;NULL;4.83;NULL;NULL;5.0;4.94;4.86;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.94;NULL;NULL
ARTH;591;meredith clausen;sp14;Seminar in Twentieth-Century Architecture;3;3;NULL;NULL;NULL;NULL;4.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;4.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
AS;101;michael goodwin;au13;Foundations of the United States Air Force I;10;11;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.4;NULL;NULL;4.6;NULL;NULL;4.5;4.5;4.38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
AS;101;michael goodwin;au13;Foundations of the United States Air Force I;8;10;NULL;NULL;NULL;NULL;4.25;NULL;NULL;4.5;NULL;NULL;4.5;NULL;NULL;4.7;4.7;4.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.17;NULL;NULL
AS;101;michael goodwin;au13;Foundations of the United States Air Force I;11;13;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.2;NULL;NULL;4.33;NULL;NULL;4.4;4.33;4.81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.88;NULL;NULL
AS;102;michael goodwin;wi14;Foundations in the United States Air Force II;5;6;NULL;NULL;NULL;NULL;3.67;NULL;NULL;4.5;NULL;NULL;3.67;NULL;NULL;3.88;3.88;3.88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.75;NULL;NULL
AS;102;michael goodwin;wi14;Foundations in the United States Air Force II;7;9;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.25;NULL;NULL;4.0;NULL;NULL;4.8;4.33;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
AS;102;michael goodwin;wi14;Foundations in the United States Air Force II;4;10;NULL;NULL;NULL;NULL;4.0;NULL;NULL;3.5;NULL;NULL;3.0;NULL;NULL;4.0;4.0;3.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AS;103;michael goodwin;sp13;Foundations in the United States Air Force III;11;12;NULL;NULL;NULL;NULL;4.81;NULL;NULL;4.81;NULL;NULL;4.81;NULL;NULL;4.89;4.81;4.89;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.71;NULL;NULL
AS;103;michael goodwin;sp14;Foundations in the United States Air Force III;3;5;NULL;NULL;NULL;NULL;3.75;NULL;NULL;3.75;NULL;NULL;4.25;NULL;NULL;3.25;3.75;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.25;NULL;NULL
AS;103;michael goodwin;sp13;Foundations in the United States Air Force III;18;19;NULL;NULL;NULL;NULL;4.38;NULL;NULL;4.1;NULL;NULL;4.68;NULL;NULL;4.75;4.75;4.86;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.36;NULL;NULL
AS;103;michael goodwin;sp14;Foundations in the United States Air Force III;2;5;NULL;NULL;NULL;NULL;5.0;NULL;NULL;5.0;NULL;NULL;5.0;NULL;NULL;5.0;5.0;5.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.0;NULL;NULL
AS;103;michael goodwin;sp13;Foundations in the United States Air Force III;5;7;NULL;NULL;NULL;NULL;4.67;NULL;NULL;4.25;NULL;NULL;4.67;NULL;NULL;4.88;4.88;4.88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AS;103;michael goodwin;sp14;Foundations in the United States Air Force III;3;7;NULL;NULL;NULL;NULL;4.75;NULL;NULL;4.75;NULL;NULL;4.75;NULL;NULL;4.0;4.75;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AS;211;isseyas mengistu;au13;The Evolution of Air and Space Power I;13;14;NULL;NULL;NULL;NULL;4.91;NULL;NULL;4.64;NULL;NULL;4.9;NULL;NULL;4.91;4.91;4.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.85;NULL;NULL
AS;211;isseyas mengistu;au13;The Evolution of Air and Space Power I;5;7;NULL;NULL;NULL;NULL;4.67;NULL;NULL;4.67;NULL;NULL;4.88;NULL;NULL;4.88;4.88;4.67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.67;NULL;NULL
AS;211;isseyas mengistu;au13;The Evolution of Air and Space Power I;11;12;NULL;NULL;NULL;NULL;4.58;NULL;NULL;4.71;NULL;NULL;4.81;NULL;NULL;4.71;4.71;4.81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.42;NULL;NULL
AS;212;isseyas mengistu;wi14;The Evolution of Air and Space Power II;4;6;NULL;NULL;NULL;NULL;4.83;NULL;NULL;4.5;NULL;NULL;4.83;NULL;NULL;4.83;4.83;4.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.83;NULL;NULL
AS;212;isseyas mengistu;wi14;The Evolution of Air and Space Power II;5;8;NULL;NULL;NULL;NULL;4.67;NULL;NULL;3.75;NULL;NULL;4.0;NULL;NULL;4.67;4.67;4.88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AS;212;isseyas mengistu;wi14;The Evolution of Air and Space Power II;7;10;NULL;NULL;NULL;NULL;4.8;NULL;NULL;4.92;NULL;NULL;4.75;NULL;NULL;4.92;4.92;4.92;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.8;NULL;NULL
AS;213;spencer bowen;sp13;The Evolution of Air and Space Power III;1;7;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.0;NULL;NULL;4.0;NULL;NULL;4.0;4.0;3.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
